iter	Logloss
0	0.6747085246
1	0.6574231783
2	0.6412431287
3	0.6261978429
4	0.6128404415
5	0.6000091084
6	0.5885853626
7	0.5785651574
8	0.5674631387
9	0.5579597811
10	0.5487460498
11	0.5410842999
12	0.5336941992
13	0.5274933916
14	0.5206152933
15	0.5139273677
16	0.5074539448
17	0.5015224778
18	0.4959430486
19	0.4910339703
20	0.4865624776
21	0.4822633487
22	0.4782198197
23	0.4743521067
24	0.4715664505
25	0.4682559427
26	0.465433945
27	0.4621571207
28	0.4595018805
29	0.4570827192
30	0.4544593531
31	0.4524548019
32	0.4501000635
33	0.4482622564
34	0.4463844515
35	0.4446993521
36	0.4424301064
37	0.4404270871
38	0.4391822183
39	0.4372803842
40	0.4356947162
41	0.433998031
42	0.4323327651
43	0.4310422003
44	0.4296842644
45	0.4287591701
46	0.42764688
47	0.4265449029
48	0.4256162015
49	0.4248417268
50	0.4239298306
51	0.4226111697
52	0.4217182494
53	0.4209766718
54	0.4200992135
55	0.4190735107
56	0.4182800759
57	0.4174416821
58	0.4168518575
59	0.4162573594
60	0.4156093617
61	0.4152274094
62	0.4149375849
63	0.4145720554
64	0.4141392768
65	0.4134368811
66	0.4130558586
67	0.412208772
68	0.4119648034
69	0.4112953307
70	0.410848357
71	0.4105064328
72	0.4099362646
73	0.4094442107
74	0.4093684708
75	0.4090495852
76	0.4085061403
77	0.4080938352
78	0.4076444696
79	0.4075152625
80	0.4072172322
81	0.4068431814
82	0.4064515834
83	0.4058566062
84	0.4054819016
85	0.4050256258
86	0.4048542507
87	0.4047678368
88	0.4042890264
89	0.4042125101
90	0.4039041204
91	0.4035717113
92	0.4034271695
93	0.4032789406
94	0.4030882525
95	0.4027000341
96	0.402322805
97	0.4020975158
98	0.4018303805
99	0.4014025865
100	0.4009399094
101	0.4006559925
102	0.4002942194
103	0.4000853069
104	0.3996972558
105	0.3994773318
106	0.3992355111
107	0.3991500085
108	0.3991212442
109	0.3987478935
110	0.398547506
111	0.3983058185
112	0.3982415449
113	0.3982241174
114	0.3980782812
115	0.3977286041
116	0.3976017203
117	0.397074081
118	0.3970350226
119	0.3969842322
120	0.3965798983
121	0.3962799556
122	0.3962287716
123	0.3961496768
124	0.3959402654
125	0.3959320706
126	0.3956262624
127	0.3953320133
128	0.3949625506
129	0.394686303
130	0.3943626657
131	0.3940414448
132	0.3939031399
133	0.3938329425
134	0.3937493967
135	0.3935846967
136	0.393547912
137	0.3933820622
138	0.3931458513
139	0.3931367217
140	0.3929618125
141	0.3929112798
142	0.3928138263
143	0.3926160804
144	0.3925399621
145	0.3923278546
146	0.3920793433
147	0.3920459776
148	0.3920163386
149	0.3919649224
150	0.391927625
151	0.391835012
152	0.391803993
153	0.3917234079
154	0.3916794478
155	0.3915286216
156	0.3913923518
157	0.3913791786
158	0.3913503436
159	0.3910552927
160	0.3909711015
161	0.3908921596
162	0.3906950562
163	0.3906466073
164	0.3904840613
165	0.3904837597
166	0.3904678725
167	0.3903399664
168	0.3902736682
169	0.3901044165
170	0.3899199707
171	0.3899022555
172	0.3898626178
173	0.3897021873
174	0.3895119965
175	0.3893208807
176	0.3892697286
177	0.389133915
178	0.3889603062
179	0.3889147399
180	0.3887901827
181	0.3885799415
182	0.3885197836
183	0.3884481312
184	0.3884146235
185	0.3883042711
186	0.3882964976
187	0.3881429372
188	0.388120256
189	0.3879582776
190	0.387765488
191	0.3874863326
192	0.3874668681
193	0.3874668589
194	0.3873977037
195	0.3873741565
196	0.3873396721
197	0.3871221705
198	0.3869732708
199	0.386866052
200	0.3867346519
201	0.3865752964
202	0.3864328085
203	0.3863275774
204	0.386287726
205	0.3861686793
206	0.3861496219
207	0.3861124582
208	0.3859879234
209	0.3857854801
210	0.3855025587
211	0.3853837604
212	0.3852970833
213	0.3852176798
214	0.3850444369
215	0.3849035713
216	0.3848517341
217	0.3845372279
218	0.384452764
219	0.3844413954
220	0.3842430582
221	0.3838541731
222	0.3837952114
223	0.383558823
224	0.3835576917
225	0.3835418732
226	0.3833530435
227	0.3832950066
228	0.3830885483
229	0.3828849521
230	0.3828345553
231	0.3828213361
232	0.3825535559
233	0.382352908
234	0.3823151482
235	0.382244986
236	0.382244893
237	0.3822447291
238	0.3822332386
239	0.3820085654
240	0.3820084119
241	0.381993485
242	0.3819410216
243	0.3817496377
244	0.3817488643
245	0.381623262
246	0.3816039905
247	0.3813039869
248	0.3811266476
249	0.380873466
250	0.3807770304
251	0.3807460013
252	0.3807146557
253	0.3806618861
254	0.3805470953
255	0.3805146239
256	0.3804801827
257	0.3802558771
258	0.3802337575
259	0.3802333589
260	0.3800697528
261	0.3799351734
262	0.3798616288
263	0.3797814619
264	0.3795940506
265	0.3795658274
266	0.3793203702
267	0.3792853818
268	0.3792327129
269	0.379004367
270	0.378945327
271	0.3788108761
272	0.378799709
273	0.3786793426
274	0.3785733279
275	0.3785654649
276	0.3782156348
277	0.3780565777
278	0.3779539367
279	0.3777323637
280	0.377608281
281	0.3775747672
282	0.3773395383
283	0.3770332817
284	0.3768728414
285	0.3765414742
286	0.3765151769
287	0.3763173777
288	0.3762981909
289	0.3762955839
290	0.3762641171
291	0.3762177363
292	0.3761387823
293	0.3760435804
294	0.3760173632
295	0.3758788741
296	0.3757976178
297	0.3756168953
298	0.3755604187
299	0.3752672543
300	0.3748977733
301	0.3746838784
302	0.3744940732
303	0.3742211351
304	0.3739847507
305	0.3739677989
306	0.3736668443
307	0.3736309586
308	0.3733332248
309	0.3732142439
310	0.3731563516
311	0.3730549116
312	0.3728298808
313	0.3728113236
314	0.3726587969
315	0.3726306276
316	0.372552524
317	0.3724663929
318	0.3724206404
319	0.372273412
320	0.3721982774
321	0.3720239894
322	0.3717494934
323	0.3715794783
324	0.3714608897
325	0.3710244417
326	0.3707630139
327	0.3704122349
328	0.3702884087
329	0.3701470994
330	0.3699906282
331	0.3698832404
332	0.3698189989
333	0.3698120446
334	0.3695310436
335	0.3693213155
336	0.3692571409
337	0.369056585
338	0.3687121374
339	0.3685281679
340	0.3685081558
341	0.3682942699
342	0.3682642604
343	0.3680714232
344	0.3679917991
345	0.3678947452
346	0.3677337897
347	0.3675448331
348	0.3674338421
349	0.3672651747
350	0.3670743025
351	0.366752464
352	0.3665853327
353	0.3664630754
354	0.3662183146
355	0.3659466505
356	0.3657906462
357	0.3655603836
358	0.365336734
359	0.3651894513
360	0.3651210168
361	0.3648841947
362	0.3648714931
363	0.3646365098
364	0.3643947754
365	0.3643508562
366	0.3640057902
367	0.3637499662
368	0.3635958795
369	0.3635493591
370	0.3634409956
371	0.3633461362
372	0.3633088763
373	0.3631576085
374	0.3628865093
375	0.3626717838
376	0.3625292712
377	0.362312203
378	0.3622651349
379	0.3620625444
380	0.3619511488
381	0.3618942926
382	0.3617688281
383	0.3616129155
384	0.3613818315
385	0.3612908414
386	0.361096458
387	0.3609487106
388	0.3609226735
389	0.3607629268
390	0.3605513599
391	0.3604664042
392	0.3603872063
393	0.360160319
394	0.3599671867
395	0.3597686042
396	0.3597005775
397	0.3594823614
398	0.3594536145
399	0.3594219981
400	0.3592329178
401	0.3591639304
402	0.3589668129
403	0.3588297266
404	0.3587685428
405	0.3585812943
406	0.3582982248
407	0.3581975736
408	0.3580468605
409	0.357846571
410	0.3576899727
411	0.3574961368
412	0.3573949839
413	0.3573410794
414	0.3571979164
415	0.3570384069
416	0.3568511006
417	0.3567359812
418	0.3566891884
419	0.3566088424
420	0.3564907564
421	0.3564639607
422	0.3562430807
423	0.3561153164
424	0.3560886036
425	0.3559234831
426	0.3556334865
427	0.355435757
428	0.3552397081
429	0.355124397
430	0.3549699289
431	0.3549211699
432	0.3548837353
433	0.3547390701
434	0.354585831
435	0.3543700606
436	0.3543024462
437	0.3542092247
438	0.354142755
439	0.3539304811
440	0.3538903312
441	0.3536600675
442	0.3536266362
443	0.3535694744
444	0.3534649011
445	0.3533408026
446	0.3531532967
447	0.3529895319
448	0.3529239893
449	0.3527925989
450	0.352694732
451	0.3526130144
452	0.3525300217
453	0.352447554
454	0.3523640969
455	0.3521849575
456	0.3519902878
457	0.351870914
458	0.3518484728
459	0.3516699712
460	0.3516614686
461	0.3515875953
462	0.3514813274
463	0.3514155371
464	0.351247588
465	0.3511162169
466	0.3510837754
467	0.3510273076
468	0.350993202
469	0.3507467054
470	0.3506955667
471	0.3505746695
472	0.3505323202
473	0.3504656763
474	0.3503559139
475	0.350307892
476	0.3501545926
477	0.3500231024
478	0.3499096498
479	0.3497792682
480	0.3494920056
481	0.349322344
482	0.3490864481
483	0.3490087768
484	0.3488331244
485	0.3485831307
486	0.3485662008
487	0.3484051755
488	0.3483351284
489	0.3482370298
490	0.3480486307
491	0.348009048
492	0.3478834666
493	0.347771799
494	0.3477209931
495	0.3476509942
496	0.3474775776
497	0.3474106148
498	0.3472930644
499	0.3470705029
500	0.3468263089
501	0.3466004452
502	0.3465252742
503	0.3463662326
504	0.3461429597
505	0.3460687407
506	0.3459581149
507	0.3458239875
508	0.3458002957
509	0.3455625149
510	0.3454877419
511	0.3454312327
512	0.3452843468
513	0.3451153826
514	0.3449646669
515	0.3448392767
516	0.3448047562
517	0.3446438855
518	0.3445590606
519	0.344372726
520	0.3443212319
521	0.3439883309
522	0.3437835712
523	0.343721261
524	0.3435824906
525	0.3433249275
526	0.3431169688
527	0.3430388297
528	0.3429886561
529	0.3428078861
530	0.3426437749
531	0.3425505427
532	0.3424612302
533	0.3422810495
534	0.3420532928
535	0.3418477006
536	0.3418430093
537	0.3416800131
538	0.3416019536
539	0.341408298
540	0.341331485
541	0.3411583588
542	0.3410601139
543	0.3409538438
544	0.3409413319
545	0.340923817
546	0.3406873245
547	0.3404392964
548	0.3402807761
549	0.3401803456
550	0.3399076721
551	0.3398128968
552	0.3397880153
553	0.3397276343
554	0.3396245393
555	0.3395890489
556	0.3395018811
557	0.3393273744
558	0.3391485971
559	0.3390307816
560	0.3389690136
561	0.3389646064
562	0.3387907071
563	0.3386734866
564	0.3385853525
565	0.3384815944
566	0.3383052291
567	0.3381613487
568	0.3380120378
569	0.3378309453
570	0.3377587954
571	0.3376907019
572	0.3375567087
573	0.3372944264
574	0.3371913559
575	0.3369875535
576	0.3368982019
577	0.3367735629
578	0.336696274
579	0.3365868065
580	0.3363214363
581	0.3362478098
582	0.336140478
583	0.3359901239
584	0.3359567058
585	0.3358629973
586	0.3357767386
587	0.3357493532
588	0.3357069568
589	0.3356382655
590	0.3355860598
591	0.3354884426
592	0.3353865837
593	0.3352628172
594	0.3350636998
595	0.3350534442
596	0.3349600533
597	0.3348704239
598	0.3347188414
599	0.3346406736
600	0.3345262323
601	0.3344074105
602	0.3343975609
603	0.334228341
604	0.3340063306
605	0.3339975834
606	0.3339103003
607	0.3338651704
608	0.3336662916
609	0.3335802678
610	0.3335172638
611	0.3333093105
612	0.3331224719
613	0.3329021753
614	0.3328975514
615	0.3328642607
616	0.3328023082
617	0.332688081
618	0.3325117061
619	0.3323629294
620	0.3323572371
621	0.332302587
622	0.3321391704
623	0.3320725114
624	0.3319758078
625	0.3317706668
626	0.3317613705
627	0.3316159667
628	0.3313864112
629	0.3312231349
