iter	Passed	Remaining
0	45	44996
1	95	47775
2	134	44720
3	177	44154
4	218	43539
5	252	41903
6	281	39954
7	311	38598
8	341	37652
9	365	36163
10	391	35196
11	419	34524
12	443	33668
13	470	33105
14	497	32648
15	531	32682
16	571	33032
17	606	33113
18	640	33095
19	653	31997
20	680	31743
21	710	31580
22	740	31474
23	767	31225
24	797	31114
25	819	30714
26	850	30634
27	882	30621
28	909	30451
29	931	30112
30	951	29752
31	978	29589
32	1005	29460
33	1039	29534
34	1069	29484
35	1097	29377
36	1126	29314
37	1154	29224
38	1168	28805
39	1199	28778
40	1226	28693
41	1261	28771
42	1298	28901
43	1317	28626
44	1341	28468
45	1373	28478
46	1400	28403
47	1431	28387
48	1462	28388
49	1491	28340
50	1506	28027
51	1534	27980
52	1562	27925
53	1592	27891
54	1622	27872
55	1651	27842
56	1687	27918
57	1726	28042
58	1773	28289
59	1835	28756
60	1908	29379
61	1956	29605
62	2001	29768
63	2031	29716
64	2060	29644
65	2091	29592
66	2123	29568
67	2150	29480
68	2182	29445
69	2209	29360
70	2239	29300
71	2267	29224
72	2294	29140
73	2325	29105
74	2357	29075
75	2383	28974
76	2413	28935
77	2445	28901
78	2473	28831
79	2501	28770
80	2529	28703
81	2558	28644
82	2585	28563
83	2608	28444
84	2637	28394
85	2647	28136
86	2675	28077
87	2703	28017
88	2729	27943
89	2741	27721
90	2773	27705
91	2806	27699
92	2835	27649
93	2863	27600
94	2884	27479
95	2926	27554
96	2963	27588
97	2984	27471
98	3017	27458
99	3032	27296
100	3072	27344
101	3085	27160
102	3099	26996
103	3135	27009
104	3168	27008
105	3200	26991
106	3211	26804
107	3242	26778
108	3268	26716
109	3297	26679
110	3324	26628
111	3331	26412
112	3359	26373
113	3370	26192
114	3398	26155
115	3426	26114
116	3455	26076
117	3471	25949
118	3499	25911
119	3519	25811
120	3547	25771
121	3576	25739
122	3604	25701
123	3633	25667
124	3660	25625
125	3670	25460
126	3700	25436
127	3727	25396
128	3756	25360
129	3791	25375
130	3808	25261
131	3852	25331
132	3883	25315
133	3914	25300
134	3949	25303
135	4007	25456
136	4052	25529
137	4108	25661
138	4148	25693
139	4193	25761
140	4235	25804
141	4276	25840
142	4324	25917
143	4376	26018
144	4432	26139
145	4448	26023
146	4478	25985
147	4508	25953
148	4537	25915
149	4566	25876
150	4594	25834
151	4607	25704
152	4636	25668
153	4665	25631
154	4695	25596
155	4722	25548
156	4751	25512
157	4781	25482
158	4807	25426
159	4838	25402
160	4865	25354
161	4894	25317
162	4926	25296
163	4956	25266
164	4973	25170
165	5007	25159
166	5046	25173
167	5086	25191
168	5123	25191
169	5155	25171
170	5183	25129
171	5214	25101
172	5242	25059
173	5272	25027
174	5301	24992
175	5321	24913
176	5345	24855
177	5372	24812
178	5401	24773
179	5428	24732
180	5452	24672
181	5498	24712
182	5537	24721
183	5581	24754
184	5612	24726
185	5640	24682
186	5651	24571
187	5679	24529
188	5707	24490
189	5738	24464
190	5776	24467
191	5806	24434
192	5836	24403
193	5866	24374
194	5896	24340
195	5930	24325
196	5969	24332
197	6006	24329
198	6037	24302
199	6063	24252
200	6076	24153
201	6101	24105
202	6131	24072
203	6161	24041
204	6190	24006
205	6200	23899
206	6228	23861
207	6256	23824
208	6289	23803
209	6322	23785
210	6368	23813
211	6419	23861
212	6465	23887
213	6499	23872
214	6539	23875
215	6575	23867
216	6609	23848
217	6621	23753
218	6632	23653
219	6648	23570
220	6675	23530
221	6713	23528
222	6760	23556
223	6793	23533
224	6823	23504
225	6854	23474
226	6888	23455
227	6920	23433
228	6962	23442
229	6996	23422
230	7031	23406
231	7062	23380
232	7094	23353
233	7124	23323
234	7154	23290
235	7184	23259
236	7200	23181
237	7231	23151
238	7262	23122
239	7293	23097
240	7321	23058
241	7336	22978
242	7362	22936
243	7393	22907
244	7421	22869
245	7433	22783
246	7472	22780
247	7513	22783
248	7553	22780
249	7591	22773
250	7611	22713
251	7651	22711
252	7689	22704
253	7699	22612
254	7735	22599
255	7811	22701
256	7878	22776
257	7923	22788
258	7956	22764
259	7992	22747
260	8031	22739
261	8068	22727
262	8114	22740
263	8171	22782
264	8226	22817
265	8276	22838
266	8362	22958
267	8443	23062
268	8496	23089
269	8591	23229
270	8682	23356
271	8751	23422
272	8832	23521
273	8892	23560
274	8947	23588
275	8990	23582
276	9028	23565
277	9059	23527
278	9086	23482
279	9116	23442
280	9145	23400
281	9176	23364
282	9205	23322
283	9236	23286
284	9266	23246
285	9293	23202
286	9321	23157
287	9353	23122
288	9387	23095
289	9423	23071
290	9461	23052
291	9496	23025
292	9507	22940
293	9537	22903
294	9566	22862
295	9598	22828
296	9627	22788
297	9658	22751
298	9690	22719
299	9721	22684
300	9755	22655
301	9783	22612
302	9815	22578
303	9853	22559
304	9890	22537
305	9926	22512
306	9959	22481
307	9988	22441
308	10016	22399
309	10050	22370
310	10082	22336
311	10110	22295
312	10126	22227
313	10155	22186
314	10182	22143
315	10212	22106
316	10242	22068
317	10272	22030
318	10301	21991
319	10331	21954
320	10362	21919
321	10392	21881
322	10423	21846
323	10455	21814
324	10484	21775
325	10513	21737
326	10541	21696
327	10572	21659
328	10602	21624
329	10633	21588
330	10662	21550
331	10692	21513
332	10720	21472
333	10754	21445
334	10782	21403
335	10811	21366
336	10840	21326
337	10869	21289
338	10898	21250
339	10929	21216
340	10965	21192
341	11006	21176
342	11039	21146
343	11066	21104
344	11091	21058
345	11121	21021
346	11151	20984
347	11180	20948
348	11209	20908
349	11237	20869
350	11267	20832
351	11295	20794
352	11325	20758
353	11354	20720
354	11385	20687
355	11415	20650
356	11445	20615
357	11476	20581
358	11504	20541
359	11534	20505
360	11563	20468
361	11592	20431
362	11621	20392
363	11649	20354
364	11678	20317
365	11706	20279
366	11741	20251
367	11771	20216
368	11801	20180
369	11831	20144
370	11859	20106
371	11887	20068
372	11916	20031
373	11946	19995
374	11973	19955
375	12002	19918
376	12032	19883
377	12064	19851
378	12094	19817
379	12124	19781
380	12152	19743
381	12181	19707
382	12211	19672
383	12238	19632
384	12253	19573
385	12280	19534
386	12311	19500
387	12338	19462
388	12368	19426
389	12400	19394
390	12431	19362
391	12461	19327
392	12491	19294
393	12520	19257
394	12547	19218
395	12575	19181
396	12606	19147
397	12634	19110
398	12662	19073
399	12690	19036
400	12719	19000
401	12751	18969
402	12781	18934
403	12812	18901
404	12845	18872
405	12875	18838
406	12905	18803
407	12934	18767
