iter	Passed	Remaining
0	50	50135
1	93	46462
2	134	44630
3	189	47146
4	235	46771
5	255	42304
6	293	41678
7	324	40206
8	427	47036
9	479	47421
10	556	50002
11	595	49003
12	626	47585
13	661	46588
14	702	46099
15	739	45454
16	765	44242
17	797	43507
18	827	42728
19	847	41513
20	869	40515
21	907	40324
22	945	40161
23	986	40115
24	1026	40028
25	1068	40035
26	1088	39226
27	1151	39968
28	1194	39983
29	1239	40065
30	1285	40190
31	1327	40144
32	1363	39966
33	1393	39596
34	1419	39129
35	1446	38724
36	1475	38391
37	1504	38093
38	1535	37843
39	1559	37422
40	1588	37144
41	1619	36942
42	1650	36737
43	1672	36330
44	1703	36142
45	1733	35941
46	1747	35441
47	1778	35272
48	1813	35192
49	1849	35131
50	1870	34804
51	1884	34361
52	1914	34213
53	1944	34068
54	1959	33675
55	1989	33545
56	2021	33435
57	2050	33301
58	2081	33202
59	2111	33082
60	2139	32932
61	2170	32843
62	2202	32756
63	2232	32651
64	2261	32537
65	2294	32469
66	2326	32395
67	2367	32452
68	2400	32394
69	2436	32371
70	2508	32823
71	2545	32812
72	2582	32796
73	2617	32749
74	2653	32721
75	2683	32628
76	2699	32353
77	2727	32235
78	2756	32139
79	2778	31947
80	2810	31881
81	2844	31844
82	2883	31859
83	2924	31895
84	2963	31896
85	3019	32089
86	3065	32174
87	3108	32214
88	3167	32427
89	3239	32752
90	3324	33206
91	3367	33240
92	3405	33214
93	3449	33249
94	3503	33373
95	3545	33390
96	3593	33450
97	3641	33517
98	3695	33636
99	3742	33679
100	3789	33729
101	3833	33747
102	3880	33792
103	3923	33804
104	3966	33805
105	4007	33797
106	4053	33826
107	4089	33777
108	4136	33816
109	4172	33762
110	4208	33702
111	4250	33702
112	4299	33746
113	4344	33765
114	4397	33841
115	4459	33988
116	4524	34143
117	4574	34191
118	4631	34289
119	4674	34282
120	4708	34203
121	4760	34256
122	4813	34320
123	4873	34430
124	4933	34533
125	4993	34636
126	5047	34694
127	5092	34693
128	5143	34730
129	5208	34853
130	5270	34965
131	5307	34898
132	5326	34724
133	5382	34784
134	5424	34753
135	5464	34713
136	5514	34734
137	5569	34792
138	5616	34792
139	5662	34781
140	5704	34753
141	5743	34700
142	5778	34630
143	5812	34554
144	5851	34504
145	5892	34464
146	5910	34294
147	5950	34255
148	5984	34181
149	6019	34109
150	6053	34033
151	6071	33872
152	6095	33744
153	6130	33677
154	6164	33609
155	6202	33556
156	6246	33541
157	6283	33487
158	6318	33421
159	6359	33387
160	6398	33345
161	6435	33291
162	6452	33131
163	6486	33064
164	6536	33076
165	6572	33018
166	6613	32988
167	6658	32975
168	6698	32939
169	6737	32895
170	6780	32871
171	6827	32865
172	6869	32840
173	6915	32829
174	6957	32797
175	6996	32755
176	7031	32696
177	7074	32668
178	7110	32612
179	7147	32561
180	7165	32421
181	7203	32373
182	7245	32345
183	7264	32215
184	7303	32176
185	7341	32129
186	7382	32095
187	7411	32012
188	7466	32037
189	7518	32053
190	7569	32061
191	7611	32031
192	7645	31969
193	7680	31911
194	7720	31871
195	7760	31831
196	7805	31815
197	7830	31715
198	7846	31583
199	7877	31511
200	7903	31418
201	7935	31348
202	7968	31286
203	8003	31227
204	8035	31161
205	8068	31098
206	8104	31047
207	8148	31028
208	8232	31159
209	8288	31180
210	8313	31087
211	8369	31108
212	8434	31162
213	8469	31105
214	8483	30974
215	8510	30888
216	8544	30829
217	8552	30677
218	8582	30606
219	8613	30539
220	8642	30464
221	8673	30396
222	8703	30324
223	8732	30251
224	8762	30181
225	8793	30115
226	8819	30033
227	8851	29971
228	8884	29911
229	8923	29875
230	8970	29864
231	9032	29899
232	9069	29856
233	9092	29765
234	9133	29733
235	9169	29684
236	9215	29667
237	9260	29650
238	9309	29641
239	9347	29601
240	9383	29553
241	9426	29527
242	9467	29493
243	9513	29475
244	9559	29459
245	9612	29463
246	9650	29419
247	9690	29383
248	9730	29348
249	9767	29302
250	9801	29248
251	9838	29203
252	9856	29101
253	9887	29040
254	9926	29001
255	9960	28947
256	10008	28935
257	10059	28930
258	10109	28923
259	10149	28887
260	10219	28935
261	10266	28919
262	10303	28871
263	10364	28895
264	10385	28806
265	10417	28747
266	10441	28666
267	10478	28620
268	10512	28567
269	10549	28522
270	10587	28480
271	10614	28409
272	10633	28318
273	10669	28269
274	10704	28221
275	10745	28186
276	10776	28127
277	10806	28065
278	10837	28005
279	10870	27952
280	10903	27898
281	10918	27800
282	10954	27753
283	10975	27670
284	11008	27618
285	11044	27572
286	11079	27525
287	11112	27473
288	11144	27418
289	11175	27361
290	11206	27302
291	11233	27237
292	11263	27178
293	11291	27115
294	11320	27053
295	11349	26992
296	11378	26932
297	11407	26873
298	11438	26818
299	11476	26777
300	11511	26733
301	11546	26687
302	11581	26642
303	11613	26589
304	11643	26530
305	11671	26469
306	11699	26409
307	11728	26351
308	11760	26299
309	11788	26238
310	11817	26181
311	11845	26121
312	11878	26071
313	11906	26013
314	11921	25925
315	11951	25869
316	11980	25812
317	12013	25764
318	12043	25709
319	12069	25648
320	12099	25593
321	12129	25539
322	12157	25481
323	12185	25423
324	12213	25366
325	12246	25319
326	12282	25279
327	12318	25237
328	12350	25188
329	12382	25139
330	12411	25085
331	12439	25028
332	12471	24980
333	12491	24908
334	12520	24853
335	12551	24804
336	12585	24759
337	12620	24718
338	12658	24682
339	12698	24650
340	12722	24587
341	12762	24554
342	12797	24512
343	12830	24467
344	12863	24422
345	12899	24381
346	12934	24339
347	12975	24309
348	13045	24334
349	13114	24354
350	13178	24366
351	13235	24365
352	13284	24348
353	13344	24351
354	13408	24362
355	13480	24386
356	13540	24387
357	13602	24392
358	13668	24405
359	13719	24389
360	13767	24369
361	13814	24346
362	13863	24327
363	13911	24306
364	13960	24287
365	14006	24263
366	14057	24246
367	14106	24226
368	14151	24199
369	14195	24171
370	14235	24135
371	14277	24102
372	14314	24061
373	14350	24020
374	14392	23987
375	14433	23953
376	14473	23918
377	14518	23890
378	14576	23884
379	14632	23873
380	14680	23851
381	14728	23827
382	14783	23815
383	14842	23809
384	14906	23812
385	14961	23799
386	15003	23764
387	15037	23719
388	15068	23667
389	15103	23622
390	15136	23576
391	15167	23525
392	15198	23474
393	15229	23424
394	15260	23373
395	15290	23321
396	15321	23271
397	15351	23219
398	15380	23167
399	15410	23115
400	15443	23068
401	15482	23031
402	15520	22992
403	15553	22945
404	15591	22906
405	15622	22856
406	15653	22806
407	15682	22755
408	15713	22706
409	15746	22659
410	15777	22610
411	15807	22560
412	15835	22507
413	15865	22457
414	15896	22408
415	15934	22369
416	15973	22332
417	16012	22294
418	16048	22253
419	16086	22215
420	16127	22179
421	16165	22141
422	16203	22103
423	16239	22061
424	16278	22023
425	16319	21989
426	16356	21948
427	16400	21918
428	16441	21883
429	16482	21849
430	16524	21815
431	16568	21784
432	16619	21762
433	16653	21718
434	16687	21675
435	16721	21630
436	16752	21582
437	16787	21540
438	16831	21509
439	16867	21468
440	16899	21420
441	16928	21371
442	16963	21329
443	16996	21283
444	17028	21237
445	17058	21189
446	17088	21141
447	17118	21091
448	17151	21048
449	17184	21003
450	17218	20960
451	17248	20912
452	17279	20865
453	17308	20815
454	17338	20767
455	17369	20721
456	17398	20673
457	17427	20623
458	17459	20578
459	17495	20537
460	17525	20490
461	17561	20450
462	17600	20413
463	17633	20369
464	17671	20331
465	17712	20297
466	17752	20261
467	17799	20233
468	17837	20195
469	17889	20173
470	17941	20150
471	17996	20131
472	18051	20112
473	18108	20094
474	18155	20066
475	18202	20038
476	18249	20009
477	18290	19974
478	18335	19943
479	18380	19911
480	18421	19876
481	18458	19837
482	18512	19816
483	18561	19788
484	18622	19774
485	18661	19736
486	18702	19701
487	18747	19669
488	18783	19628
489	18833	19601
490	18903	19596
491	18961	19578
492	19002	19542
493	19049	19512
494	19088	19474
495	19132	19441
496	19168	19399
497	19205	19359
498	19250	19327
499	19290	19290
500	19326	19249
