iter	Logloss
0	0.6742198578
1	0.65748817
2	0.6421104368
3	0.6287365546
4	0.614922433
5	0.605049102
6	0.5949629922
7	0.5843366337
8	0.5745947954
9	0.5668837748
10	0.5588133154
11	0.5498255193
12	0.54057486
13	0.5321717993
14	0.5235266926
15	0.5160315248
16	0.5096570356
17	0.5028435984
18	0.4965826731
19	0.492112626
20	0.4874455551
21	0.4824653028
22	0.4778389829
23	0.4733655161
24	0.4686375689
25	0.4652040234
26	0.4626396629
27	0.4597700293
28	0.4565294223
29	0.4532058433
30	0.45069482
31	0.4481000253
32	0.4457725967
33	0.4434655716
34	0.442083394
35	0.4401971785
36	0.4380836095
37	0.4366852106
38	0.4349666517
39	0.4338040823
40	0.4322908817
41	0.4307599048
42	0.4295920378
43	0.4285891999
44	0.4271303672
45	0.4259511133
46	0.4253380414
47	0.4241373976
48	0.4231116882
49	0.422169767
50	0.4217171454
51	0.4211474087
52	0.4199060452
53	0.4191166992
54	0.4184767275
55	0.4175523566
56	0.4168570432
57	0.4161045535
58	0.4156718175
59	0.4148611202
60	0.4140915979
61	0.4135541268
62	0.4128020671
63	0.4120942814
64	0.4113920008
65	0.4106340846
66	0.4100085319
67	0.4092212023
68	0.4086104655
69	0.4080152569
70	0.4073841153
71	0.4067736513
72	0.4063750502
73	0.405889927
74	0.4054783563
75	0.4052872016
76	0.4049923371
77	0.4045595388
78	0.4042080372
79	0.4039864166
80	0.4035771203
81	0.4031762647
82	0.4027374539
83	0.4024320147
84	0.4020360555
85	0.4015530455
86	0.4012408445
87	0.4010893628
88	0.4007862918
89	0.4007099862
90	0.4005988352
91	0.4003757233
92	0.4002200729
93	0.4001144849
94	0.3998052731
95	0.3995214515
96	0.3991099023
97	0.398877503
98	0.3987109649
99	0.398533781
100	0.3981936541
101	0.3981190755
102	0.3978632247
103	0.3977259304
104	0.397178056
105	0.3970390916
106	0.3967284239
107	0.3966246894
108	0.3966043443
109	0.3964676347
110	0.3960594478
111	0.3956205824
112	0.3954300539
113	0.3951845051
114	0.394876799
115	0.3946960357
116	0.3945014267
117	0.3943533523
118	0.3939613891
119	0.3934427811
120	0.3933501071
121	0.3931444796
122	0.3928990136
123	0.3926095295
124	0.3925757485
125	0.3923942469
126	0.3922286475
127	0.3919898737
128	0.3918746972
129	0.3916279373
130	0.3914084905
131	0.3913494909
132	0.3913089306
133	0.3911933537
134	0.3909420722
135	0.3907085381
136	0.3905446676
137	0.3904244837
138	0.3903562746
139	0.3900541834
140	0.3899434993
141	0.3897116283
142	0.3896399446
143	0.389305479
144	0.3889073149
145	0.3888022965
146	0.3888016214
147	0.3886211452
148	0.3885553178
149	0.3883019925
150	0.3881487243
151	0.3881194727
152	0.3880874449
153	0.3880155521
154	0.3878655537
155	0.3875968966
156	0.3875070621
157	0.387389468
158	0.3873017285
159	0.387122663
160	0.3869175752
161	0.3868794829
162	0.3868788709
163	0.3867867203
164	0.3867204659
165	0.3867157341
166	0.3866289526
167	0.3864255379
168	0.3863820727
169	0.3861378646
170	0.3859108546
171	0.3857488527
172	0.3855856195
173	0.3855615405
174	0.3853797001
175	0.3853208977
176	0.3852527105
177	0.3852106679
178	0.3851989466
179	0.3849766898
180	0.3849737822
181	0.3849635273
182	0.3847927489
183	0.3847834151
184	0.384611428
185	0.3844173796
186	0.3842401412
187	0.3842272917
188	0.3841564983
189	0.3839996869
190	0.3837159044
191	0.3835302299
192	0.38347644
193	0.3833364628
194	0.3832770758
195	0.3829542611
196	0.3828525528
197	0.3828506229
198	0.3828469004
199	0.3827416664
200	0.3827330681
201	0.3826424756
202	0.3824310929
203	0.3823454869
204	0.3822627573
205	0.3820587106
206	0.3819960931
207	0.3817708008
208	0.3816464054
209	0.3815861297
210	0.3815852432
211	0.3815792584
212	0.3814691142
213	0.3814285211
214	0.3814239485
215	0.3813345088
216	0.3812738672
217	0.3812738333
218	0.3812213968
219	0.3811826649
220	0.3811311328
221	0.3808230007
222	0.3807315688
223	0.3804997531
224	0.380465605
225	0.3804212136
226	0.3803938217
227	0.380341695
228	0.3801947899
229	0.380133771
230	0.380029742
231	0.3798157746
232	0.3797495052
233	0.3797490986
234	0.3796698859
235	0.379633679
236	0.3795905677
237	0.3794109266
238	0.3793879055
239	0.3791715052
240	0.3790554609
241	0.3788931096
242	0.3788009803
243	0.3787632546
244	0.3787260262
245	0.3786998837
246	0.3786311971
247	0.378507596
248	0.3782485916
249	0.3782408557
250	0.3781884072
251	0.378185205
252	0.3781815586
253	0.3779910975
254	0.3779049022
255	0.377749818
256	0.3776617834
257	0.3776468117
258	0.3774099483
259	0.3773096466
260	0.3772904992
261	0.377274823
262	0.3772462015
263	0.3771026735
264	0.3771017716
265	0.3768223649
266	0.3768034684
267	0.3767871214
268	0.3766430359
269	0.3764239606
270	0.376220208
271	0.376037403
272	0.3760041165
273	0.3757037675
274	0.3754645483
275	0.3753633133
276	0.3753349927
277	0.3752351751
278	0.3750979153
279	0.3749696529
280	0.3748096541
281	0.3748094251
282	0.3746590382
283	0.3746086
284	0.3745924456
285	0.3745637565
286	0.3742419012
287	0.3740545825
288	0.3739958169
289	0.3738849625
290	0.3738074811
291	0.3735828852
292	0.3735219921
293	0.3735104792
294	0.3734395809
295	0.373418341
296	0.3731651071
297	0.3728494503
298	0.3725892439
299	0.3724724173
300	0.3724688362
301	0.3722860066
302	0.3721040788
303	0.3720313436
304	0.3718468736
305	0.3718169007
306	0.3716221607
307	0.3715183719
308	0.371208261
309	0.3709186639
310	0.3706745383
311	0.370471845
312	0.3703763305
313	0.3701584788
314	0.3701579781
315	0.3698700777
316	0.3698418187
317	0.3697433669
318	0.3695480005
319	0.3694826304
320	0.36931993
321	0.3691342443
322	0.3688960311
323	0.368681347
324	0.3684962466
325	0.3682987843
326	0.368221582
327	0.3682127779
328	0.368082572
329	0.3678695187
330	0.3676886464
331	0.367684169
332	0.3675380984
333	0.3675367333
334	0.3673724425
335	0.3673377248
336	0.3670748884
337	0.3669458199
338	0.3667406854
339	0.3664942058
340	0.3664734689
341	0.3663853026
342	0.3663780075
343	0.3663414348
344	0.3663128689
345	0.3661722342
346	0.3661141737
347	0.3660164333
348	0.3657662676
349	0.3654274479
350	0.3654092794
351	0.365185132
352	0.3649605561
353	0.3649352227
354	0.3648082593
355	0.3645638513
356	0.3643959336
357	0.3642552154
358	0.3640905874
359	0.3639541605
360	0.3638194609
361	0.3637575588
362	0.3636102428
363	0.3634168886
364	0.3632476606
365	0.3628681173
366	0.3626844178
367	0.3624143898
368	0.3623854327
369	0.3621801494
370	0.3621195888
371	0.3618749511
372	0.3617259935
373	0.3613425682
374	0.3610829896
375	0.3610159962
376	0.360788507
377	0.3604472038
378	0.3604281717
379	0.3602485958
380	0.3601308602
381	0.3598943348
382	0.3597923757
383	0.3595690767
384	0.3593843015
385	0.3592564867
386	0.3591574057
387	0.3589881972
388	0.358969866
389	0.3589582693
390	0.3587847302
391	0.3586013161
392	0.3583757331
393	0.3582049735
394	0.3580322249
395	0.357867278
396	0.3576658305
397	0.3575626082
398	0.3573865656
399	0.3572830716
400	0.3570485042
401	0.3568600205
402	0.3567491015
403	0.3565609065
404	0.3563677252
405	0.3560754277
406	0.3559187954
407	0.3558111217
408	0.3557110518
409	0.3555762299
410	0.3553973596
411	0.3552635793
412	0.3550641669
413	0.3549238131
414	0.3547128988
415	0.3545803908
416	0.3545611951
417	0.3543552063
418	0.354159525
419	0.3539637654
420	0.3538193126
421	0.3537969553
422	0.3535718457
423	0.35353937
424	0.3533654299
425	0.3532472527
426	0.3530966476
427	0.3530671678
428	0.3528664068
429	0.3527425106
430	0.3526685077
431	0.3525549092
432	0.3523044755
433	0.3523019274
434	0.3521552509
435	0.3520295399
436	0.351955998
437	0.3518163345
438	0.3518085791
439	0.3516594336
440	0.3514667502
441	0.351181948
442	0.3511648817
443	0.3510741913
444	0.3509015542
445	0.3506672175
446	0.3505083356
447	0.3503708742
448	0.3502378347
449	0.3501052303
450	0.3499405884
451	0.349818431
452	0.3497003476
453	0.3496856456
454	0.3494932742
455	0.3493767244
456	0.3491907064
457	0.3489574881
458	0.3488561699
459	0.348805915
460	0.3487334597
461	0.34860066
462	0.348308933
463	0.3482440521
464	0.3480782212
465	0.3479919291
466	0.3479542866
467	0.3479031983
468	0.3478924028
469	0.3478163328
470	0.3475443202
471	0.3475140961
472	0.3474251757
473	0.3472562466
474	0.3470848094
475	0.3470521764
476	0.3470356072
477	0.3469387769
478	0.346732057
479	0.3466348049
480	0.3465156655
481	0.346337994
482	0.3462705269
483	0.3461951365
484	0.3461826365
485	0.3460522411
486	0.3460420183
487	0.346026612
488	0.3459405557
489	0.3458003503
490	0.3456250444
491	0.3454075247
492	0.3452238202
493	0.3452066671
494	0.3450097281
495	0.3449699152
496	0.3448024184
497	0.3447426884
498	0.3445769555
499	0.3443009203
500	0.3442863202
501	0.3442141481
502	0.3440824585
503	0.3440510226
504	0.3440064881
505	0.343886
506	0.3438338048
507	0.343796731
508	0.3435981487
509	0.343439641
510	0.3433662944
511	0.3431485887
512	0.3429206998
513	0.342856533
514	0.3427420103
515	0.3426611101
516	0.3425637977
517	0.3425237765
518	0.3423984593
519	0.3423866604
520	0.3422387793
521	0.3421449472
522	0.342069054
523	0.3420204486
524	0.341865167
525	0.3417457625
526	0.3417405131
527	0.3417344708
528	0.3415657764
529	0.3414068214
530	0.3413918329
531	0.3412796516
532	0.3411924246
533	0.3410000881
534	0.3409178245
535	0.3407828994
536	0.3407733444
537	0.3406846725
538	0.3406604474
539	0.3404672637
540	0.34026265
541	0.3401455279
542	0.3400730636
543	0.3399246973
544	0.3398388754
545	0.3397917376
546	0.3397866441
547	0.3397192118
548	0.3396511035
549	0.3395665474
550	0.3393535536
551	0.3392578554
552	0.3391292443
553	0.3391179849
554	0.3390396547
555	0.339016742
556	0.3388884543
557	0.3387985451
558	0.3386805146
559	0.3385194257
560	0.3385089122
561	0.3383433259
562	0.3381456991
563	0.3379135617
564	0.3378152158
565	0.3376667711
566	0.3374372099
567	0.337332308
568	0.3372109428
569	0.3372011853
570	0.3370968735
571	0.3369577387
572	0.3369569564
573	0.3368912027
574	0.3368050207
575	0.3367402365
576	0.3366546889
577	0.3366468064
578	0.3365016907
579	0.336420193
580	0.3363320059
581	0.336220409
582	0.3361783042
583	0.3360956854
584	0.3359742522
585	0.3358671903
586	0.3358377983
587	0.3357358466
588	0.3357319652
589	0.3356697319
590	0.3356301281
591	0.3356245648
592	0.3354614784
593	0.335353201
594	0.3352357046
595	0.3350599321
596	0.3349083951
597	0.3348493311
598	0.3347819102
599	0.334745852
600	0.3347284897
601	0.3344409832
602	0.334433847
603	0.3343572118
604	0.3342455247
605	0.3340838176
606	0.3339532076
607	0.3339017673
608	0.333761282
609	0.3337314514
610	0.3336656061
611	0.3336505191
612	0.3335425866
613	0.333533522
614	0.3332523192
615	0.333063135
616	0.3329401873
617	0.3328133953
618	0.3327338754
619	0.3325859531
620	0.3325197494
621	0.3323217607
622	0.3322864636
623	0.3321901577
624	0.3320604001
625	0.3320067436
626	0.3318172381
627	0.3316447905
628	0.3316114102
629	0.3315613545
630	0.3314654458
631	0.3313242866
632	0.3312865269
633	0.3311101951
634	0.3309984479
635	0.3308514482
636	0.330777012
637	0.330670714
638	0.3305756905
639	0.3305308767
640	0.3304405728
641	0.3301596572
642	0.330067358
643	0.3300025577
644	0.3299705944
645	0.3298970288
646	0.329825616
647	0.3297388151
648	0.3295974233
649	0.3293428091
650	0.3293188903
651	0.3292209549
652	0.3291998948
653	0.3291594066
654	0.3291262825
655	0.3289975616
656	0.328927665
657	0.3288529494
658	0.328803546
659	0.3286775239
660	0.3286577554
661	0.3286320102
662	0.3286156085
663	0.3286122228
664	0.3286010055
665	0.3285946099
666	0.3285179039
667	0.3284848216
668	0.3284541706
669	0.3284149425
670	0.3284002964
671	0.3283452192
672	0.3283263634
673	0.3282062254
674	0.3280538901
675	0.3279402765
676	0.3278150953
677	0.3276446278
678	0.3275840453
679	0.3274999716
680	0.3274005058
681	0.3273945804
682	0.3273320528
683	0.327136522
684	0.3269540646
685	0.3268592998
686	0.3266942227
687	0.3264999451
688	0.3263927396
689	0.3262670419
690	0.3261750791
691	0.3259977536
692	0.3258643343
693	0.325673062
694	0.3255323348
695	0.3254355616
696	0.3252925724
697	0.3252175039
698	0.3250724588
699	0.324974034
700	0.3249042233
701	0.3247455847
702	0.3245766266
703	0.3245485305
704	0.3245345766
705	0.3244292547
706	0.3242204551
707	0.3240613025
708	0.3239774302
709	0.3239477549
710	0.3238960178
711	0.3238724218
712	0.3237383163
713	0.323661139
714	0.3235099804
715	0.3234448031
716	0.32336829
717	0.3231865424
718	0.3231538212
719	0.3230680996
720	0.3228961261
721	0.3228954741
722	0.3228795848
723	0.3228565018
724	0.3227470476
725	0.3226083578
726	0.3226021864
727	0.3225114455
728	0.3224599862
729	0.3224557794
730	0.3222815298
731	0.3219962006
732	0.3219712282
733	0.3218084274
734	0.3214980343
735	0.321304262
736	0.3212853859
737	0.3210916898
738	0.3208605102
739	0.3207228912
740	0.3206302027
741	0.3205796982
742	0.3204862419
743	0.3203321415
744	0.3203312655
745	0.3202468644
746	0.3200963799
747	0.3199672591
748	0.3198620683
749	0.319610889
750	0.319545344
751	0.3194304877
752	0.3193537695
753	0.319260055
754	0.3191996415
755	0.3190878774
756	0.3188763382
757	0.3188470151
758	0.3187836107
759	0.3187354742
760	0.3186676135
761	0.318642533
762	0.3185252433
763	0.3184196223
764	0.3183161125
765	0.3182818774
766	0.3181929329
767	0.3181008802
768	0.3179930451
769	0.317902062
770	0.3178997857
771	0.3178070339
772	0.3177993262
773	0.3177644254
774	0.3176531144
775	0.3175809069
776	0.3175105726
777	0.3174317166
778	0.3174234605
779	0.3172702627
780	0.3171228122
781	0.3170263268
782	0.3169401422
783	0.3169181725
784	0.316830135
785	0.3167729464
786	0.316752994
787	0.3167291872
788	0.3166256886
789	0.3165408451
790	0.3164706434
791	0.3163737713
792	0.3162482374
793	0.3162194318
794	0.3161843744
795	0.3161800895
796	0.316100043
797	0.3160527697
798	0.3160230628
799	0.3158775515
800	0.3157662853
801	0.3156341681
802	0.315541749
803	0.3154114057
804	0.3154019915
805	0.3152602305
806	0.3152443609
807	0.3149565022
808	0.3149126475
809	0.3148484759
810	0.3146546296
811	0.3145290306
812	0.3144205909
813	0.3143208283
814	0.3142360148
815	0.3141815379
816	0.3141770985
817	0.3140602864
818	0.3139527523
819	0.3139465704
820	0.3138517331
821	0.3138335975
822	0.3138333553
823	0.313758072
824	0.3136969986
825	0.3135837204
826	0.3135693221
827	0.3134902263
828	0.3132431117
829	0.3131099244
830	0.3130898176
831	0.3129739856
832	0.3128734718
833	0.3127311496
834	0.3127245365
835	0.312538435
836	0.3124408817
837	0.3122147797
838	0.3121543074
839	0.3121227907
840	0.3120131534
841	0.3119919465
842	0.3119333231
843	0.3118400978
844	0.3117563075
845	0.3116689318
846	0.3115892396
847	0.3114148146
848	0.3113842206
849	0.3113035011
850	0.3112267193
851	0.3111998007
852	0.311194326
853	0.3111413866
854	0.3110571337
855	0.3110200837
856	0.3109993123
857	0.3108182845
858	0.3107830684
859	0.3106171109
860	0.3105256222
861	0.3104674285
862	0.310331268
863	0.3102954763
864	0.3102146263
865	0.3100919647
866	0.3100420606
867	0.3099774924
868	0.3099748342
869	0.3099496869
870	0.3099332963
871	0.3098679772
872	0.3097372853
873	0.3096827452
874	0.3095505481
875	0.3095084961
876	0.3093753951
877	0.3093551735
878	0.309292507
879	0.3090239872
880	0.3089624793
881	0.3089169405
882	0.3089069151
883	0.3088636049
884	0.3087742701
885	0.3087329361
886	0.3085223384
887	0.3084261236
888	0.308422373
889	0.3083975774
890	0.3083001032
891	0.3082572537
892	0.308168639
893	0.3080469246
894	0.3079738318
895	0.3078788355
896	0.307766217
897	0.3077308381
898	0.3077249905
899	0.3076171505
900	0.3075253797
901	0.3073899299
902	0.3073802896
903	0.3072559656
904	0.3072407553
905	0.3070160985
906	0.3068986265
907	0.3068263259
908	0.3065839127
909	0.3064367818
910	0.3064105055
911	0.3063120921
912	0.3062917562
913	0.3062029551
914	0.3061077752
915	0.3060588517
