iter	Logloss
0	0.6732778053
1	0.6555713159
2	0.6391487841
3	0.6237906836
4	0.6098436105
5	0.597850777
6	0.5855257766
7	0.5741336327
8	0.5633628532
9	0.5530694439
10	0.5436880676
11	0.5354679919
12	0.5280830141
13	0.5204882414
14	0.5137622491
15	0.5080239586
16	0.502465302
17	0.4977482957
18	0.4928330795
19	0.4882481332
20	0.4833213595
21	0.4791735859
22	0.475399232
23	0.4717886388
24	0.4679472887
25	0.4646920336
26	0.4630848368
27	0.459775377
28	0.4579736285
29	0.4554001327
30	0.4536120961
31	0.4521006872
32	0.4498304481
33	0.447750037
34	0.4456015884
35	0.4438869225
36	0.442170099
37	0.4402328948
38	0.4384557697
39	0.4372633123
40	0.4358237581
41	0.4344184409
42	0.4331349859
43	0.4318259684
44	0.4309802505
45	0.4299747657
46	0.4289363564
47	0.427612349
48	0.4266994825
49	0.4257008864
50	0.4249027035
51	0.424306933
52	0.4237389422
53	0.4230213772
54	0.4218657162
55	0.4210594204
56	0.4204385183
57	0.4198537436
58	0.4192958742
59	0.4187721541
60	0.4183367334
61	0.4177029511
62	0.4169077682
63	0.4162314036
64	0.4160452204
65	0.4155761295
66	0.414960071
67	0.4143185251
68	0.4134733429
69	0.4131793832
70	0.4128654923
71	0.4126047744
72	0.4121294816
73	0.4116685197
74	0.4109920499
75	0.4104924664
76	0.4101889649
77	0.4095355019
78	0.4091203627
79	0.4088488853
80	0.4084467764
81	0.4078751967
82	0.4073639722
83	0.4071280874
84	0.4069201119
85	0.4064075929
86	0.4062747771
87	0.4060249181
88	0.4054814571
89	0.4051272155
90	0.4048475102
91	0.4045572135
92	0.4043266574
93	0.4042070917
94	0.4038813673
95	0.403452257
96	0.4033805133
97	0.4032440047
98	0.4030565639
99	0.4028469435
100	0.4027142642
101	0.4026374522
102	0.4021658571
103	0.4019921408
104	0.4015851311
105	0.4015037377
106	0.4012621264
107	0.400972467
108	0.4009712348
109	0.4008751922
110	0.4005731969
111	0.3999998543
112	0.3996638152
113	0.3994484405
114	0.3993534541
115	0.3993281773
116	0.3991847828
117	0.3988055903
118	0.3988034346
119	0.3987852172
120	0.3987556348
121	0.3984923153
122	0.3982119386
123	0.3981046334
124	0.3981044966
125	0.3979178146
126	0.3975101402
127	0.3972487397
128	0.3972435846
129	0.3970235676
130	0.396910632
131	0.3967855784
132	0.3967173365
133	0.396451153
134	0.3961774835
135	0.3958304142
136	0.3957927287
137	0.3957436251
138	0.3956132254
139	0.3955977374
140	0.3954376338
141	0.3952929457
142	0.3951158041
143	0.3950787038
144	0.3948793857
145	0.3947502139
146	0.3946423809
147	0.3944935443
148	0.3943755672
149	0.3943576133
150	0.3940867648
151	0.3939898965
152	0.3938024549
153	0.3937930183
154	0.393556179
155	0.3935440572
156	0.3935072013
157	0.3933745045
158	0.3931123124
159	0.3930910913
160	0.3930320906
161	0.3930318675
162	0.3929405205
163	0.3928907358
164	0.3928650699
165	0.3925293292
