iter	Passed	Remaining
0	29	29260
1	64	32115
2	96	31950
3	129	32210
4	161	32111
5	201	33307
6	242	34418
7	287	35669
8	332	36582
9	372	36845
10	409	36808
11	447	36878
12	482	36650
13	518	36501
14	548	35990
15	573	35244
16	619	35802
17	653	35650
18	682	35239
19	712	34936
20	741	34586
21	770	34272
22	799	33972
23	828	33707
24	857	33439
25	888	33286
26	901	32497
27	945	32837
28	971	32532
29	1022	33049
30	1090	34082
31	1128	34128
32	1230	36064
33	1274	36205
34	1336	36840
35	1389	37206
36	1427	37157
37	1467	37145
38	1511	37255
39	1544	37056
40	1575	36859
41	1611	36767
42	1648	36690
43	1678	36472
44	1708	36259
45	1736	36022
46	1764	35786
47	1793	35567
48	1823	35397
49	1852	35192
50	1878	34962
51	1904	34720
52	1924	34382
53	1956	34279
54	1993	34249
55	2026	34160
56	2065	34168
57	2099	34104
58	2135	34061
59	2170	34011
60	2209	34010
61	2247	33995
62	2277	33876
63	2309	33778
64	2325	33448
65	2355	33335
66	2393	33329
67	2422	33196
68	2452	33091
69	2483	32996
70	2514	32895
71	2543	32782
72	2577	32729
73	2607	32628
74	2642	32595
75	2680	32585
76	2719	32593
77	2750	32510
78	2778	32388
79	2806	32274
80	2834	32162
81	2862	32048
82	2891	31946
83	2920	31848
84	2950	31760
85	2985	31729
86	3007	31564
87	3037	31477
88	3065	31380
89	3094	31287
90	3124	31210
91	3154	31129
92	3179	31012
93	3208	30927
94	3239	30865
95	3270	30799
96	3303	30753
97	3334	30692
98	3365	30627
99	3400	30600
100	3428	30514
101	3455	30418
102	3483	30336
103	3512	30258
104	3541	30190
105	3571	30119
106	3599	30038
107	3625	29944
108	3645	29798
109	3675	29740
110	3713	29744
111	3761	29823
112	3790	29755
113	3819	29685
114	3851	29642
115	3887	29624
116	3922	29601
117	3952	29541
118	3966	29363
119	3976	29163
120	4004	29091
121	4032	29022
122	4060	28953
123	4088	28882
124	4094	28664
125	4125	28618
126	4155	28565
127	4184	28508
128	4203	28380
129	4230	28313
130	4257	28241
131	4285	28182
132	4316	28140
133	4347	28095
134	4376	28040
135	4405	27988
136	4434	27931
137	4463	27879
138	4487	27795
139	4505	27675
140	4534	27626
141	4562	27569
142	4597	27550
143	4617	27450
144	4648	27407
145	4668	27309
146	4699	27267
147	4728	27222
148	4759	27182
149	4786	27124
150	4813	27065
151	4843	27023
152	4875	26989
153	4909	26969
154	4939	26930
155	4977	26929
156	4987	26781
157	5019	26748
158	5052	26724
159	5081	26680
160	5108	26621
161	5120	26486
162	5146	26425
163	5173	26372
164	5187	26253
165	5217	26211
166	5227	26075
167	5254	26021
168	5282	25974
169	5314	25948
170	5351	25943
171	5385	25924
172	5416	25893
173	5424	25749
174	5453	25710
175	5482	25666
176	5509	25618
177	5538	25577
178	5553	25469
179	5572	25384
180	5582	25258
181	5609	25209
182	5619	25089
183	5647	25044
184	5677	25011
185	5706	24974
186	5739	24951
187	5770	24922
188	5806	24916
189	5841	24905
190	5872	24874
191	5902	24841
192	5913	24727
193	5966	24789
194	6000	24770
195	6008	24645
196	6038	24612
197	6066	24571
198	6095	24535
199	6126	24507
200	6156	24474
201	6185	24434
202	6214	24398
203	6243	24360
204	6271	24320
205	6300	24284
206	6330	24250
207	6359	24216
208	6387	24174
209	6417	24140
210	6445	24100
211	6472	24059
212	6500	24019
213	6512	23921
214	6519	23804
215	6547	23764
216	6575	23726
217	6588	23635
218	6617	23600
219	6644	23557
220	6655	23459
221	6681	23416
222	6707	23372
223	6734	23331
224	6762	23293
225	6794	23268
226	6824	23238
227	6839	23157
228	6854	23077
229	6884	23047
230	6919	23033
231	6951	23010
232	6982	22986
233	7011	22952
234	7047	22941
235	7080	22921
236	7111	22896
237	7140	22861
238	7170	22830
239	7199	22797
240	7228	22766
241	7261	22743
242	7286	22697
243	7293	22597
244	7332	22596
245	7369	22588
246	7403	22568
247	7432	22537
248	7461	22504
249	7489	22469
250	7519	22438
251	7547	22401
252	7553	22302
253	7562	22212
254	7590	22176
255	7618	22141
256	7646	22106
257	7661	22033
258	7689	22000
259	7720	21973
260	7752	21949
261	7782	21921
262	7811	21889
263	7839	21856
264	7869	21828
265	7900	21799
266	7930	21770
267	7945	21701
268	7973	21667
269	8002	21635
270	8030	21602
271	8065	21587
272	8107	21589
273	8142	21574
274	8191	21595
275	8204	21520
276	8241	21510
277	8271	21482
278	8301	21451
279	8330	21420
280	8363	21398
