iter	Passed	Remaining
0	25	25734
1	59	29450
2	89	29668
3	121	30255
4	152	30441
5	186	30819
6	217	30796
7	246	30542
8	274	30262
9	301	29872
10	332	29884
11	359	29638
12	390	29649
13	424	29892
14	453	29810
15	480	29520
16	510	29527
17	539	29443
18	569	29388
19	600	29423
20	614	28643
21	639	28448
22	666	28329
23	694	28251
24	724	28240
25	739	27703
26	769	27714
27	798	27714
28	825	27634
29	853	27601
30	881	27557
31	911	27565
32	940	27562
33	970	27578
34	1002	27643
35	1037	27789
36	1078	28076
37	1122	28414
38	1179	29051
39	1234	29616
40	1277	29891
41	1309	29870
42	1346	29976
43	1381	30022
44	1411	29959
45	1442	29925
46	1470	29819
47	1500	29761
48	1539	29880
49	1583	30092
50	1614	30046
51	1654	30165
52	1684	30101
53	1714	30036
54	1744	29966
55	1760	29671
56	1789	29602
57	1815	29483
58	1845	29427
59	1873	29357
60	1901	29272
61	1939	29343
62	1963	29201
63	2002	29290
64	2042	29387
65	2087	29544
66	2125	29600
67	2159	29604
68	2194	29615
69	2227	29590
70	2260	29578
71	2290	29519
72	2320	29466
73	2353	29455
74	2385	29422
75	2418	29406
76	2454	29427
77	2489	29424
78	2525	29441
79	2559	29432
80	2593	29422
81	2623	29365
82	2646	29242
83	2674	29164
84	2684	28901
85	2711	28819
86	2722	28570
87	2751	28517
88	2779	28454
89	2814	28454
90	2843	28401
91	2871	28336
92	2900	28286
93	2930	28244
94	2959	28193
95	2990	28156
96	3022	28133
97	3055	28127
98	3086	28091
99	3116	28050
100	3142	27974
101	3172	27932
102	3187	27759
103	3217	27718
104	3245	27667
105	3274	27616
106	3302	27563
107	3331	27516
108	3357	27448
109	3402	27526
110	3430	27473
111	3444	27312
112	3471	27251
113	3501	27211
114	3529	27165
115	3560	27130
116	3589	27088
117	3620	27058
118	3647	27005
119	3675	26955
120	3706	26922
121	3736	26893
122	3753	26763
123	3797	26828
124	3812	26689
125	3844	26668
126	3872	26623
127	3883	26456
128	3913	26425
129	3944	26400
130	3972	26353
131	4003	26325
132	4016	26185
133	4051	26184
134	4067	26061
135	4095	26021
136	4123	25976
137	4153	25945
138	4184	25922
139	4214	25890
140	4244	25860
141	4274	25824
142	4302	25787
143	4332	25752
144	4361	25716
145	4390	25682
146	4423	25667
147	4434	25526
148	4448	25408
149	4478	25378
150	4508	25347
151	4536	25307
152	4565	25274
153	4594	25240
154	4623	25206
155	4653	25176
156	4682	25142
157	4711	25107
158	4725	24993
159	4752	24951
160	4784	24933
161	4814	24906
162	4843	24869
163	4855	24749
164	4883	24713
165	4912	24679
166	4925	24570
167	4953	24531
168	4981	24497
169	5013	24478
170	5047	24468
171	5074	24429
172	5105	24405
173	5125	24331
174	5136	24214
175	5166	24188
176	5177	24074
177	5192	23978
178	5221	23949
179	5250	23917
180	5261	23807
181	5290	23777
182	5318	23743
183	5345	23704
184	5374	23676
185	5401	23638
186	5431	23614
187	5459	23579
188	5487	23548
189	5498	23442
190	5526	23408
191	5554	23376
192	5582	23340
193	5613	23322
194	5642	23293
195	5670	23261
196	5699	23231
197	5717	23159
198	5739	23100
199	5769	23077
200	5775	22958
201	5802	22922
202	5820	22852
203	5848	22821
204	5865	22745
205	5892	22710
206	5920	22679
207	5950	22658
208	5989	22669
209	6038	22716
210	6069	22696
211	6098	22668
212	6127	22641
213	6142	22562
214	6172	22537
215	6202	22513
216	6231	22485
217	6259	22453
218	6290	22433
219	6320	22407
220	6330	22315
221	6355	22271
222	6386	22251
223	6417	22230
224	6445	22200
225	6473	22171
226	6503	22147
227	6527	22100
228	6556	22074
229	6585	22048
230	6614	22021
231	6629	21945
232	6635	21844
233	6655	21787
234	6684	21759
235	6713	21733
236	6742	21705
237	6770	21675
238	6798	21648
239	6805	21550
240	6834	21524
241	6861	21491
242	6888	21457
243	6917	21434
244	6948	21412
245	6968	21358
246	6997	21331
247	7033	21327
248	7062	21299
249	7091	21275
250	7120	21248
251	7148	21219
252	7177	21190
253	7207	21167
254	7236	21142
255	7264	21113
256	7294	21089
257	7323	21062
258	7354	21040
259	7371	20981
260	7410	20982
261	7439	20955
262	7466	20924
263	7495	20897
264	7522	20864
265	7551	20837
266	7579	20809
267	7609	20784
268	7639	20759
269	7667	20731
270	7696	20703
271	7723	20670
272	7734	20598
273	7763	20571
274	7791	20540
275	7822	20520
276	7854	20501
277	7885	20479
278	7914	20453
279	7944	20428
280	7974	20403
281	8007	20388
282	8041	20373
283	8071	20348
284	8092	20303
285	8124	20282
286	8140	20224
287	8158	20168
288	8191	20151
289	8230	20151
290	8268	20146
291	8301	20127
292	8329	20100
293	8340	20028
294	8370	20004
295	8401	19981
296	8429	19953
297	8458	19926
298	8486	19897
299	8515	19870
300	8548	19850
301	8583	19837
302	8615	19818
303	8648	19799
304	8680	19779
305	8711	19758
306	8739	19728
307	8767	19698
308	8798	19676
309	8830	19654
310	8860	19630
311	8889	19603
312	8919	19577
313	8948	19550
314	8980	19529
315	9016	19515
316	9049	19498
317	9081	19477
318	9117	19463
319	9160	19465
320	9200	19461
321	9236	19448
322	9266	19421
323	9297	19397
324	9326	19371
325	9356	19344
326	9387	19319
327	9417	19293
328	9447	19267
329	9475	19237
330	9504	19209
331	9534	19183
332	9564	19157
333	9593	19130
334	9624	19106
335	9653	19077
336	9682	19048
337	9727	19052
338	9757	19025
339	9787	18999
340	9817	18973
341	9848	18948
342	9877	18919
343	9912	18903
344	9956	18902
345	9994	18891
346	10032	18879
347	10061	18850
348	10091	18823
349	10122	18798
350	10153	18773
351	10182	18745
352	10214	18721
353	10243	18692
354	10272	18664
355	10304	18641
356	10334	18614
357	10363	18585
358	10407	18583
359	10451	18580
360	10495	18577
361	10529	18557
362	10558	18528
363	10590	18504
364	10629	18491
365	10666	18476
366	10701	18457
367	10732	18431
368	10760	18400
369	10791	18374
370	10820	18344
371	10850	18317
372	10878	18286
373	10908	18258
374	10938	18231
375	10968	18203
376	11002	18181
377	11033	18156
378	11065	18130
379	11094	18100
380	11123	18071
381	11152	18042
382	11181	18012
383	11211	17985
384	11241	17957
385	11271	17928
386	11300	17899
387	11328	17868
388	11359	17842
389	11387	17811
390	11417	17782
391	11448	17756
392	11476	17725
393	11505	17696
394	11533	17665
395	11563	17637
396	11592	17608
397	11623	17581
398	11652	17552
399	11681	17522
400	11710	17493
401	11739	17463
402	11769	17435
403	11799	17407
404	11829	17379
405	11860	17352
406	11889	17323
407	11918	17293
408	11947	17263
409	11977	17236
410	12013	17216
411	12042	17187
412	12072	17158
413	12101	17128
414	12129	17098
415	12159	17070
416	12189	17041
417	12218	17012
418	12245	16979
419	12274	16950
420	12303	16921
421	12334	16894
422	12365	16867
423	12396	16840
424	12424	16810
425	12454	16781
426	12484	16753
427	12513	16723
428	12541	16692
429	12570	16662
430	12598	16632
431	12630	16606
432	12673	16595
433	12715	16583
434	12745	16554
435	12774	16525
436	12805	16497
437	12836	16470
438	12863	16438
439	12895	16412
440	12924	16382
441	12953	16352
442	12986	16328
443	13020	16305
444	13049	16275
445	13079	16246
446	13107	16215
447	13137	16187
448	13166	16157
449	13196	16128
450	13225	16098
451	13253	16068
452	13283	16039
453	13312	16009
454	13341	15980
455	13370	15950
456	13399	15920
457	13429	15892
458	13458	15862
459	13486	15832
460	13517	15804
461	13546	15775
462	13574	15744
463	13606	15717
464	13636	15688
465	13665	15659
466	13693	15629
467	13725	15602
468	13754	15572
469	13782	15542
470	13810	15511
471	13842	15484
472	13870	15454
473	13898	15423
474	13927	15393
475	13955	15362
476	13987	15336
477	14023	15314
478	14052	15284
479	14081	15255
480	14108	15222
481	14137	15193
482	14166	15163
483	14195	15134
484	14224	15104
485	14253	15074
486	14282	15045
487	14312	15015
488	14341	14986
489	14370	14957
490	14400	14928
491	14429	14898
492	14458	14868
493	14487	14839
494	14513	14807
495	14543	14778
496	14572	14748
497	14602	14719
498	14632	14691
499	14662	14662
500	14691	14632
501	14720	14602
502	14747	14571
503	14775	14540
504	14806	14513
505	14837	14486
506	14871	14460
507	14909	14440
508	14951	14422
509	14986	14398
510	15018	14371
511	15052	14346
512	15092	14328
513	15127	14303
514	15156	14273
515	15187	14245
516	15217	14217
517	15248	14189
518	15278	14159
519	15308	14130
520	15335	14099
521	15367	14072
522	15397	14043
523	15427	14013
524	15457	13985
525	15504	13971
526	15540	13948
527	15576	13924
528	15615	13903
529	15646	13875
530	15674	13844
531	15705	13815
532	15735	13786
533	15765	13757
534	15801	13734
535	15835	13708
536	15867	13680
537	15901	13654
538	15938	13631
539	15976	13610
540	16014	13586
541	16046	13559
542	16076	13530
543	16106	13501
544	16134	13470
545	16163	13440
546	16192	13409
547	16222	13380
548	16251	13350
549	16282	13321
550	16311	13291
551	16358	13276
552	16389	13247
553	16421	13219
554	16451	13190
555	16479	13159
556	16508	13129
557	16539	13100
558	16567	13070
559	16596	13040
560	16627	13011
561	16657	12982
562	16684	12950
563	16715	12921
564	16745	12892
565	16775	12863
566	16805	12833
567	16837	12805
568	16866	12776
569	16895	12746
570	16925	12716
571	16963	12693
572	17016	12680
573	17051	12655
574	17086	12629
575	17125	12606
576	17166	12584
577	17200	12557
578	17231	12528
579	17261	12499
580	17291	12470
581	17322	12441
582	17351	12410
583	17381	12381
584	17410	12351
585	17440	12321
586	17469	12291
587	17499	12261
588	17528	12231
589	17559	12202
590	17588	12172
591	17616	12141
592	17646	12111
593	17676	12081
594	17706	12052
595	17735	12021
596	17763	11991
597	17794	11962
598	17825	11933
599	17857	11905
600	17893	11879
601	17929	11853
602	17959	11823
603	17990	11794
604	18018	11764
605	18050	11735
606	18080	11706
607	18109	11675
608	18139	11645
609	18169	11616
610	18199	11586
611	18228	11556
612	18258	11527
613	18288	11497
614	18317	11467
615	18347	11437
616	18378	11408
617	18409	11379
618	18440	11350
619	18469	11320
620	18499	11290
621	18541	11267
622	18570	11237
623	18599	11207
624	18627	11176
625	18657	11146
626	18685	11115
627	18716	11086
628	18745	11056
629	18773	11025
630	18803	10995
631	18832	10965
632	18864	10937
633	18896	10908
634	18926	10879
635	18959	10850
636	18993	10823
637	19023	10793
638	19052	10763
639	19082	10734
640	19112	10703
641	19142	10674
642	19172	10644
643	19201	10614
644	19234	10586
645	19265	10557
646	19297	10528
647	19330	10500
648	19372	10477
649	19409	10451
650	19439	10421
651	19474	10394
652	19520	10373
653	19556	10346
654	19589	10318
655	19622	10289
656	19651	10259
657	19680	10229
658	19711	10199
659	19741	10169
660	19770	10139
661	19799	10109
662	19829	10079
663	19858	10048
664	19887	10018
665	19917	9988
666	19951	9960
667	19985	9932
668	20018	9904
669	20048	9874
670	20078	9844
671	20106	9814
672	20137	9784
673	20165	9753
674	20194	9723
675	20223	9693
676	20253	9663
677	20281	9632
678	20310	9601
679	20339	9571
680	20370	9542
681	20400	9512
682	20429	9482
683	20459	9451
684	20487	9421
685	20516	9391
686	20548	9362
687	20580	9332
688	20609	9302
689	20641	9273
690	20670	9243
691	20700	9213
692	20730	9183
693	20760	9153
694	20789	9123
695	20819	9093
696	20850	9064
697	20879	9033
698	20908	9003
699	20938	8973
700	20974	8946
701	21003	8915
702	21032	8885
703	21062	8855
704	21092	8826
705	21122	8795
706	21152	8766
707	21181	8735
708	21211	8706
709	21242	8676
710	21275	8647
711	21312	8620
712	21348	8593
713	21383	8565
714	21418	8537
715	21449	8508
716	21480	8478
717	21508	8447
718	21539	8417
719	21581	8392
720	21623	8367
721	21659	8339
722	21691	8310
723	21721	8280
724	21752	8250
725	21785	8222
726	21816	8192
727	21855	8165
728	21900	8141
729	21939	8114
730	21987	8090
731	22076	8082
732	22142	8065
733	22173	8035
734	22205	8005
735	22236	7976
736	22267	7946
737	22298	7916
738	22329	7886
739	22359	7856
740	22387	7825
741	22420	7795
742	22457	7767
743	22500	7742
744	22539	7714
745	22582	7688
746	22624	7662
747	22664	7635
748	22700	7607
749	22738	7579
750	22773	7550
751	22808	7521
752	22840	7492
753	22870	7461
754	22898	7430
755	22932	7401
756	22965	7371
757	22995	7341
758	23025	7311
759	23054	7280
760	23094	7253
761	23123	7222
762	23154	7192
763	23185	7162
764	23216	7131
765	23246	7101
766	23275	7070
767	23307	7040
768	23337	7010
769	23366	6979
770	23396	6949
771	23425	6918
772	23455	6887
773	23483	6856
774	23512	6826
775	23538	6794
776	23569	6764
777	23597	6733
778	23625	6702
779	23659	6673
780	23702	6646
781	23745	6619
782	23790	6593
783	23846	6569
784	23892	6543
785	23931	6515
786	23973	6488
787	24004	6457
788	24036	6427
789	24067	6397
790	24095	6366
791	24125	6335
792	24156	6305
793	24184	6274
794	24213	6243
795	24242	6212
796	24271	6182
797	24299	6151
798	24329	6120
799	24358	6089
800	24386	6058
801	24415	6027
802	24446	5997
803	24476	5966
804	24506	5936
805	24534	5905
806	24566	5875
807	24596	5844
808	24627	5814
809	24656	5783
810	24685	5752
811	24715	5722
812	24747	5692
813	24779	5662
814	24809	5631
815	24839	5601
816	24870	5570
817	24903	5540
818	24938	5511
819	24971	5481
820	25003	5451
821	25035	5421
822	25068	5391
823	25099	5361
824	25130	5330
825	25161	5300
826	25192	5270
827	25221	5239
828	25249	5208
829	25279	5177
830	25308	5147
831	25338	5116
832	25368	5085
833	25404	5056
834	25445	5028
835	25483	4999
836	25512	4968
837	25549	4939
838	25584	4909
839	25619	4879
840	25654	4850
841	25685	4819
842	25714	4789
843	25743	4758
844	25770	4727
845	25800	4696
846	25830	4665
847	25859	4635
848	25890	4604
849	25923	4574
850	25960	4545
851	25992	4515
852	26023	4484
853	26079	4458
854	26125	4430
855	26161	4401
856	26197	4371
857	26232	4341
858	26267	4311
859	26300	4281
860	26332	4251
861	26365	4220
862	26401	4191
863	26432	4160
864	26462	4129
865	26495	4099
866	26526	4069
867	26557	4038
868	26590	4008
869	26632	3979
870	26684	3952
871	26723	3922
872	26756	3892
873	26788	3862
874	26823	3831
875	26857	3801
876	26892	3771
877	26928	3741
878	26967	3712
879	26999	3681
880	27032	3651
881	27065	3620
882	27097	3590
883	27130	3560
884	27162	3529
885	27195	3499
886	27227	3468
887	27256	3437
888	27285	3406
889	27314	3375
890	27346	3345
891	27379	3315
892	27414	3284
893	27449	3254
894	27484	3224
895	27515	3193
896	27545	3163
897	27575	3132
898	27604	3101
899	27633	3070
900	27663	3039
901	27693	3008
902	27723	2978
903	27756	2947
904	27786	2916
905	27818	2886
906	27849	2855
907	27877	2824
908	27909	2794
909	27947	2764
910	27977	2733
911	28009	2702
912	28039	2671
913	28070	2641
914	28101	2610
915	28133	2579
916	28165	2549
917	28195	2518
918	28225	2487
919	28255	2457
920	28296	2427
921	28348	2398
922	28397	2369
923	28434	2338
924	28468	2308
925	28500	2277
926	28530	2246
927	28563	2216
928	28594	2185
929	28625	2154
930	28654	2123
931	28685	2092
932	28714	2062
933	28750	2031
934	28786	2001
935	28822	1970
936	28856	1940
937	28886	1909
938	28920	1878
939	28954	1848
940	28985	1817
941	29019	1786
942	29050	1755
943	29078	1725
944	29108	1694
945	29137	1663
946	29166	1632
947	29212	1602
948	29242	1571
949	29286	1541
950	29369	1513
951	29442	1484
952	29476	1453
953	29506	1422
954	29535	1391
955	29565	1360
956	29595	1329
957	29623	1298
958	29654	1267
959	29683	1236
960	29712	1205
961	29742	1174
962	29772	1143
963	29801	1112
964	29830	1081
965	29861	1051
966	29891	1020
967	29924	989
968	29955	958
969	29987	927
970	30019	896
971	30053	865
972	30089	834
973	30125	804
974	30161	773
975	30196	742
976	30231	711
977	30263	680
978	30295	649
979	30331	619
980	30362	588
981	30391	557
982	30418	526
983	30447	495
984	30478	464
985	30509	433
986	30543	402
987	30589	371
988	30625	340
989	30657	309
990	30694	278
991	30728	247
992	30763	216
993	30796	185
994	30826	154
995	30856	123
996	30887	92
997	30920	61
998	30950	30
999	30990	0
