iter	Logloss
0	0.6757554322
1	0.6582545391
2	0.6424403655
3	0.6259285694
4	0.6106034922
5	0.5967199344
6	0.5830275552
7	0.5712841374
8	0.5602649382
9	0.5497952048
10	0.5405148223
11	0.5324971156
12	0.5247631912
13	0.5173098617
14	0.5106897796
15	0.5056965832
16	0.5001962931
17	0.4947198149
18	0.4889647519
19	0.4841346956
20	0.4804298575
21	0.4765571157
22	0.4726757069
23	0.4689248263
24	0.4655782641
25	0.463104134
26	0.4597828018
27	0.4570887649
28	0.4545214837
29	0.4519270611
30	0.4494620779
31	0.4470911481
32	0.4448860776
33	0.4429607627
34	0.4409195828
35	0.43934426
36	0.4372301493
37	0.435918025
38	0.4341190348
39	0.4328860411
40	0.4316911033
41	0.4306076325
42	0.4291920377
43	0.4279006421
44	0.4266993652
45	0.4254699569
46	0.4245886412
47	0.4234686911
48	0.4222557005
49	0.4213619093
50	0.4204227863
51	0.4194129283
52	0.4185197454
53	0.4176503465
54	0.416730041
55	0.4164032503
56	0.4155490011
57	0.4149080177
58	0.4143333433
59	0.4136075619
60	0.4129204806
61	0.4124531299
62	0.4123097299
63	0.4116645183
64	0.4110229332
65	0.41048558
66	0.4099870423
67	0.4093650198
68	0.4088926232
69	0.4084645195
70	0.4080817242
71	0.4077346674
72	0.4071710253
73	0.4066461793
74	0.4063369204
75	0.4059943653
76	0.4054560559
77	0.40493803
78	0.4045242301
79	0.4042642174
80	0.4038196843
81	0.4035138672
82	0.4034345724
83	0.4031154159
84	0.4030754973
85	0.402642417
86	0.4025966542
87	0.4021876846
88	0.4018268984
89	0.4015128554
90	0.401076707
91	0.4005509361
92	0.4003246111
93	0.3999681629
94	0.3995953386
95	0.3994087694
96	0.3989388109
97	0.3987251736
98	0.39842888
99	0.3983137032
100	0.3982403239
101	0.3979111134
102	0.3978664407
103	0.3975817344
104	0.3973761707
105	0.3973226777
106	0.3970873746
107	0.396965179
108	0.3968359512
109	0.3967060802
110	0.3966023783
111	0.3965538744
112	0.3963873338
113	0.396215441
114	0.3957382585
115	0.3955414907
116	0.3951152976
117	0.3948231266
118	0.3946509159
119	0.394468698
120	0.3942547946
121	0.3941602234
122	0.3941573034
123	0.394031264
124	0.3940023169
125	0.3939272657
126	0.3935707053
127	0.3935336754
128	0.3933490264
129	0.3932989668
130	0.3930749581
131	0.3929708769
132	0.3929674688
133	0.3928289001
134	0.3928158268
135	0.3927159362
136	0.392510878
137	0.3922703816
138	0.3920861871
139	0.3917759869
140	0.3916359751
141	0.3915184158
142	0.391400619
143	0.3912316206
144	0.3911647727
145	0.3910342613
146	0.3907802645
147	0.3907782924
148	0.3907663666
149	0.3906825353
150	0.3905606359
151	0.3905168315
152	0.3904245542
153	0.3903383857
154	0.3902184292
155	0.3901561225
156	0.3899041777
157	0.3897355166
158	0.3897291837
159	0.3896720031
160	0.3895741588
161	0.3892972729
162	0.3892583569
163	0.389256975
164	0.3892307583
165	0.38916111
166	0.389142806
167	0.3890886944
168	0.3889941075
169	0.3889117018
170	0.3888869576
171	0.3886754453
172	0.3886392532
173	0.3886365121
174	0.388613628
175	0.3885340151
176	0.3885125809
177	0.3884611842
178	0.3882842404
179	0.3882314961
180	0.388231318
181	0.3881264973
182	0.3880352091
183	0.3879708307
184	0.387851129
185	0.3876715848
186	0.3873762169
187	0.3872980713
188	0.3872137498
189	0.3872137365
190	0.3870888545
191	0.3870097518
192	0.3868723114
193	0.3867751301
194	0.3867300045
195	0.3864708013
196	0.3864221813
197	0.3863968643
198	0.3863528194
199	0.3862533018
200	0.3862533011
201	0.3860743425
202	0.3860435245
203	0.3859745594
204	0.3859631158
205	0.3859208772
206	0.3858780546
207	0.385758734
208	0.3856366766
209	0.3855108094
210	0.3853765078
211	0.3853383231
212	0.3851359604
213	0.3851352839
214	0.385121203
215	0.3849636529
216	0.3849078949
217	0.3846208649
218	0.3844977279
219	0.3843681777
220	0.3843493502
221	0.3843213952
222	0.3842941733
223	0.3842500344
224	0.3841336184
225	0.3840324724
226	0.3839807055
227	0.3839678128
228	0.3839422496
229	0.3838627411
230	0.3838178464
231	0.3838120709
232	0.3838120674
233	0.3837369763
234	0.383508169
235	0.3833725369
236	0.3833062402
237	0.3830743768
238	0.3829483361
239	0.3829483359
240	0.3829190945
241	0.3828057149
242	0.3827798526
243	0.3826894434
244	0.3825767947
245	0.3825605041
246	0.3824800737
247	0.3824354569
248	0.3822841501
249	0.3821267805
250	0.3819381345
251	0.3819081816
252	0.3818105502
253	0.3816913996
254	0.3814361352
255	0.3813853677
256	0.3812196509
257	0.3811395777
258	0.3809349959
259	0.3809265221
260	0.3808285074
261	0.3805222441
262	0.3804782627
263	0.3804359599
264	0.3803977058
265	0.3803767958
266	0.3803269851
267	0.3802365154
268	0.3801266362
269	0.3801023065
270	0.3799972568
271	0.3799108693
272	0.3799034642
273	0.3797783309
274	0.3797107807
275	0.3794833023
276	0.3792500121
277	0.3791701554
278	0.3790632691
279	0.3790179438
280	0.378990221
281	0.3787669459
282	0.3785782588
283	0.3783086369
284	0.3782969161
285	0.3781401244
286	0.3780808959
287	0.3780720653
288	0.3779916185
289	0.3779443037
290	0.3778003366
291	0.3775947476
292	0.3773870091
293	0.3773869741
294	0.3771119053
295	0.3769184878
296	0.376875562
297	0.3764754325
298	0.376384671
299	0.3761791069
300	0.3760564598
301	0.3759624677
302	0.3758648544
303	0.3757927219
304	0.3755714671
305	0.375376028
306	0.3752603199
307	0.3751681747
308	0.3751263775
309	0.3748923351
310	0.3747544881
311	0.3746570501
312	0.3743466858
313	0.3741151035
314	0.3739936532
315	0.3738059129
316	0.3736481737
317	0.3735456023
318	0.3734008308
319	0.3733283561
320	0.3730384338
321	0.3727942224
322	0.3726701798
323	0.3725161225
324	0.3723829013
325	0.3721922726
326	0.3720229385
327	0.3719242132
328	0.3718745965
329	0.3718248839
330	0.3717823591
331	0.3715474863
332	0.3714141648
333	0.3713555321
334	0.3712147615
335	0.3711146333
336	0.3709247215
337	0.3707455694
338	0.3706894223
339	0.3705776975
340	0.3704544498
341	0.370165831
342	0.3700824048
343	0.369881285
344	0.3696334376
345	0.3694379815
346	0.369228537
347	0.3689282413
348	0.3687319456
349	0.3685197364
350	0.3684151597
351	0.3682397114
352	0.36801371
353	0.367881351
354	0.3676191395
355	0.3675575456
356	0.3673192722
357	0.3672380095
358	0.3669791783
359	0.3666579354
360	0.3664569075
361	0.3663565043
362	0.366111715
363	0.3658125887
364	0.3656546919
365	0.3653539418
366	0.3651664682
367	0.3651104321
368	0.3650205867
369	0.3649963369
370	0.3646885869
371	0.3646387741
372	0.3644009501
373	0.3642056391
374	0.3639618743
375	0.3639234589
376	0.3637896279
377	0.3636745327
378	0.3633842986
379	0.3632189275
380	0.363054126
381	0.3629968451
382	0.3628487752
383	0.3626246112
384	0.3625279308
385	0.3624233767
386	0.3621271556
387	0.3619565741
388	0.3617275175
389	0.3616990546
390	0.3615703078
391	0.3615086751
392	0.3613071628
393	0.3611325232
394	0.3609823037
395	0.3608500681
396	0.3607873711
397	0.3605498969
398	0.3603399255
399	0.3602502816
400	0.360055372
401	0.3600160764
402	0.3599218016
403	0.3597424686
404	0.3596154345
405	0.3594995835
406	0.3594113663
407	0.3591702865
408	0.3590167092
409	0.3589250531
410	0.3587657179
411	0.3587094025
412	0.3586240023
413	0.358412609
414	0.3583291781
415	0.3582493915
416	0.3581663202
417	0.3580660407
418	0.3579256928
419	0.3577669603
420	0.3576753924
421	0.3575940924
422	0.3573439597
423	0.3571522437
424	0.3570060285
425	0.3568950541
426	0.3565671684
427	0.3564453009
428	0.356348069
429	0.3561871416
430	0.3559691109
431	0.3557698792
432	0.3556571818
433	0.3555293366
434	0.3552162222
435	0.355105504
436	0.3548979486
437	0.3548128452
438	0.3546001361
439	0.3544642062
440	0.3543257415
441	0.3541491246
442	0.3539784767
443	0.3538067091
444	0.3536703871
445	0.3536238414
446	0.3534840653
447	0.3533473912
448	0.3531719886
449	0.3530657408
450	0.3530224596
451	0.3529340211
452	0.3528463066
453	0.3528001223
454	0.3527356249
455	0.3526263252
456	0.3524463891
457	0.3523697439
458	0.3522697305
459	0.3521739001
460	0.3519156872
461	0.3518211023
462	0.3517800782
463	0.3515580936
464	0.3515014943
465	0.3514284653
466	0.351379589
467	0.35132023
468	0.3512119973
469	0.351163323
470	0.3510084288
471	0.3508538202
472	0.3507580082
473	0.3506587402
474	0.3505853667
475	0.3504484268
476	0.3503871953
477	0.3502978246
478	0.3501119565
479	0.3499616524
480	0.3498337637
481	0.3497361965
482	0.3496603425
483	0.3495385134
484	0.3494256221
485	0.3493580916
486	0.3493139589
487	0.3491797907
488	0.3490560632
489	0.348864524
490	0.3487384645
491	0.3486720541
492	0.3485585683
493	0.348480092
494	0.3484579092
495	0.3483663858
496	0.3483383681
497	0.3482402192
498	0.3481230039
499	0.3480051456
500	0.3479157555
